iw7_addr,proposed_name,iw7_existing_name,iw8_addr,confidence,score,margin,evidence,prototype
0x140AA6750,Glass_UnlinkPiece,,0x141FFC740,low,1.9,1.068,1 shared rare constant; struct_sim=1.00,"void __fastcall(FxGlassSystem *glassSys, unsigned int pieceIndex)"
0x1406F5F80,G_irand,,0x140D0D010,low,1.9,0.0,2 shared rare constants; struct_sim=0.73; demoted: runner-up within 0.00,"__int64 __fastcall(int min, int max)"
0x140CE0E00,G_irand,,0x140D0D010,low,1.9,0.0,2 shared rare constants; struct_sim=0.73; demoted: runner-up within 0.00,"__int64 __fastcall(int min, int max)"
0x140B8AAC0,LiveStorage_CS_IsAvailable,,0x1413B70C0,low,1.9,0.0,1 shared rare constant; struct_sim=1.00,bool __fastcall(const int controllerIndex)
0x14126E8F0,?1bdStatsInfo,,0x1436A1550,low,1.9,0.196,1 shared rare constant; struct_sim=1.00,void __fastcall(bdStatsInfo *this)
0x1410F6FC0,hkSerialize::Detail::TagfileBundle::getItems,,0x142B32740,low,1.9,0.059,3 shared rare constants; struct_sim=0.47; demoted: runner-up within 0.06,"__int64 __fastcall(hkSerialize::Detail::TagfileBundle *this, hkArray<hkSerialize::Bundle::Item,hkContainerHeapAllocator> *out)"
0x1411094F0,hkpLimitedHingeConstraintData::Atoms::afterReflectNew,,0x1430880E0,low,1.9,0.259,1 shared rare constant; struct_sim=1.00,void __fastcall(hkpLimitedHingeConstraintData::Atoms *this)
0x1411ACFB0,tt_face_load_cmap,,0x1430ECC40,low,1.9,1.9,1 shared rare constant; struct_sim=1.00,"int __fastcall(TT_FaceRec_ *face, FT_StreamRec_ *stream)"
0x14123AE70,?0bdSecurityKey,,0x143586600,low,1.9,1.9,1 shared rare constant; struct_sim=1.00,void __fastcall(bdSecurityKey *this)
0x141240320,?1bdFileInfo,,0x14369CD60,low,1.9,0.846,1 shared rare constant; struct_sim=1.00,void __fastcall(bdFileInfo *this)
0x1411E6230,index2adr,,0x1437F84D0,low,1.9,0.0,3 shared rare constants; struct_sim=0.47; demoted: runner-up within 0.00,"TValue *__fastcall(lua_State *L, int idx)"
0x1410732C0,?0hknpMotionWeldTOICommand,,0x1439EE970,low,1.9,1.9,1 shared rare constant; struct_sim=1.00,"void __fastcall(hknpMotionWeldTOICommand *this, hknpBodyId idA, hknpBodyId idB)"
0x140D781B0,BG_ShouldIncrementViewMovementIdleTimeADS,,0x1411308C0,low,1.899,0.126,1 shared matched global; 1 shared rare constant; struct_sim=0.67,"bool __usercall@<al>(const playerState_s *ps@<rcx>, const BgWeaponMap *weaponMap@<rdx>, float *outUseWeaponPosFrac@<r8>, vec3_t *outTargetScale@<r9>, __int128 *__struct_ptr _XMM6@<xmm6>, __int128 *@<xmm7>, __int128 *@<xmm8>, vec3_t *outTimeScale, int *outIdleCycle)"
0x140DAEBC0,LB_ReadLeaderboardComplete,,0x14241C1E0,low,1.899,1.899,1 shared rare constant; struct_sim=0.60,__int64 __fastcall(const int slot)
0x1409C8550,PartyClient_VerifyPartyMemberList,,0x141AD8F40,low,1.898,1.898,1 shared matched global; struct_sim=0.53,"void __fastcall(const PartyData *party, const PartyActiveClient *mainActiveClient, XUID *playerList, unsigned int playerCount)"
0x14BD020AE,bdMail::sendMailWithDuration,,0x1436629E0,low,1.897,1.897,1 shared string literal; struct_sim=0.33,"bdReference<bdRemoteTask> *__fastcall(bdMail *this, bdReference<bdRemoteTask> *result, const void *const message, const unsigned int messageSize, const unsigned __int16 mailCategory, const unsigned int messageDuration, const bool returnOnExpiration, const bdUserAccountID *userIDs, const unsigned int numUserIDs, const bdUserAccountID *senderID)"
0x140B11000,G_ActiveMP_SpectatorClientEndFrame_CheckSpectateCycle,,0x14123D050,low,1.897,0.397,1 shared rare constant; struct_sim=0.60,void __fastcall(gentity_s *ent)
0x1406F85D0,TT_Load_Glyph,,0x1430B98B0,low,1.897,0.189,2 shared rare constants; struct_sim=0.73; demoted: runner-up within 0.19,"__int64 __fastcall(TT_SizeRec_ *size, FT_GlyphSlotRec_ *glyph, __int64 glyph_index, int load_flags)"
0x140EDFE40,bfx::DGraph::CreateVert,,0x142A92890,low,1.897,1.897,1 shared rare constant; struct_sim=1.00,"bfx::Pool::Node *__fastcall(bfx::DGraph *this, const bfx::Vec3 *pos, bfx::DEdge *pIncidentEdge)"
0x140030820,index2adr,,0x1437F84D0,low,1.897,0.0,3 shared rare constants; struct_sim=0.46; demoted: runner-up within 0.00,"TValue *__fastcall(lua_State *L, int idx)"
0x1411E4CD0,index2adr,,0x1437F84D0,low,1.897,0.0,3 shared rare constants; struct_sim=0.46; demoted: runner-up within 0.00,"TValue *__fastcall(lua_State *L, int idx)"
0x140C636A0,SV_BuildClientSnapshot_AssignBaselineIndices,,0x1416A78D0,low,1.897,1.897,1 shared matched global; struct_sim=0.53,void __fastcall(clientSnapshot_t *const nextSnap)
0x14BB57D41,bdContentStreamingBase::exitHTTP,,0x1436156D0,low,1.896,1.896,1 shared string literal; struct_sim=0.42,"void __usercall(bdContentStreamingBase *this@<rcx>, __int128 _XMM0@<xmm0>, __int128 _XMM6@<xmm6>)"
0x14134039B,bdCommonAddrInfo::getInfo,,0x14358DA80,low,1.895,1.895,1 shared string literal; struct_sim=0.40,"__int64 __fastcall(const bdCommonAddr *addr, char *buf, const unsigned int length)"
0x1413A9D10,hkXmlLexAnalyzer::_matchOutsideBrackets,,0x142C19430,low,1.895,0.219,1 shared rare constant; struct_sim=1.00,hkXmlLexAnalyzer::Token __fastcall(hkXmlLexAnalyzer *this)
0x140458020,FlightDynamicsFlightDynamicsParameters::UpdateForBoatConditions,,0x140331640,low,1.895,0.095,2 shared rare constants; struct_sim=0.73; demoted: runner-up within 0.09,void __fastcall(FlightDynamicsFlightDynamicsParameters *this)
0x1400C79F0,index2adr,,0x1437F84D0,low,1.895,0.0,3 shared rare constants; struct_sim=0.46; demoted: runner-up within 0.00,"TValue *__fastcall(lua_State *L, int idx)"
0x140F03850,HavokPhysics_CreateRigidBody,,0x141B1B9E0,low,1.895,1.895,2 shared rare constants; struct_sim=0.33,"hknpBodyId *__usercall@<rax>(hknpBodyId *result@<rcx>, Physics_WorldId worldId@<edx>, HavokPhysicsWorld *world@<r8>, const PhysicsAsset *physicsAsset@<r9>, __int128 *__struct_ptr _XMM6@<xmm6>, __int128 *__struct_ptr _XMM7@<xmm7>, __int128 *__struct_ptr _XMM8@<xmm8>, int assetId, hknpPhysicsSystemData::bodyCinfoWithAttachment *bodyCinfo, int ref, hkVector4f *position, hkQuaternionf *orientation, bool immediateAdd, bool tryStartDeactivated, bool wrapMutables)"
0x140E09350,R_GenerateSpotLightModel,,0x1420CBE40,low,1.894,1.894,1 mapped callee(s) in common; struct_sim=0.13,"void __usercall(const vec3_t *lightOrigin@<rcx>, const vec3_t *lightDir@<rdx>, __int128 *coneCosHalfFov@<xmm2>, __int128 *radius@<xmm3>, __int128 *@<xmm6>, __int128 *@<xmm7>, __int128 *@<xmm8>, __int128 *@<xmm9>, __int128 *@<xmm10>, __int128 *@<xmm11>, __int128 *@<xmm12>, __int128 *@<xmm13>, __int128 *@<xmm14>, __int128 *@<xmm15>, const vec3_t *bulbLengthVec, const float bulbRadius, GfxLightModel *lightModel)"
0x140D2F3C0,bfx::XGraphImpl::AddXGraphForAreas,,0x142A95F20,low,1.892,0.117,2 shared rare constants; struct_sim=0.73; demoted: runner-up within 0.12,"void __fastcall(bfx::XGraphImpl *this, bfx::Array<bfx::Area *> *newAreas)"
0x140313640,OffsetHudElemY,,0x141CD0E10,low,1.892,0.182,caller set overlaps: 2/2 mapped callers (jaccard 0.67); struct_sim=0.46; demoted: runner-up within 0.18,"float __usercall@<xmm0>(const hudelem_t *elem@<rcx>, const cg_hudelem_t *cghe@<rdx>, __int128 *__struct_ptr offsetY@<xmm2>, __int128 *__struct_ptr _XMM0@<xmm0>, __int128 *__struct_ptr _XMM1@<xmm1>, __int128 *__struct_ptr _XMM6@<xmm6>, __int128 *__struct_ptr _XMM7@<xmm7>, __int128 *__struct_ptr _XMM8@<xmm8>)"
0x14B8220DA,bdObjectStoreStreaming::exitHTTP,,0x1436DF0F0,low,1.89,0.025,1 shared string literal; struct_sim=0.40,"void __usercall(bdObjectStoreStreaming *this@<rcx>, __int128 _XMM0@<xmm0>)"
0x1413A9C50,hkXmlLexAnalyzer::_lexText,,0x142C18FB0,low,1.889,0.147,1 shared rare constant; struct_sim=0.99,__int64 __fastcall(hkXmlLexAnalyzer *this)
0x14097D7A0,CgWeaponSystem::SimulateImpactEffectForBeamWeapons,,0x141E1C230,low,1.889,0.217,2 shared rare constants; struct_sim=0.73; demoted: runner-up within 0.22,"void __usercall(CgWeaponSystem *this@<rcx>, const int attackerEntNum@<edx>, const Weapon *r_weapon@<r8>, const bool isAlternate@<r9b>, __int128 _XMM6@<xmm6>, __int128 _XMM7@<xmm7>, __int128 _XMM8@<xmm8>, __int128 _XMM9@<xmm9>, const centity_t *victimEnt, const BulletFireParams *bp, const vec3_t *bulletEndPos, const bool shouldDeferEvents, vec3_t *outImpactPos)"
